Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
47,58,RL,50.453231529246075,4419,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Feedr,Norm,1Fam,1Story,7,6,1998,1971,Gable,CompShg,VinylSd,HdBoard,Stone,45.8304590439284,TA,TA,PConc,TA,Gd,No,ALQ,739,Unf,-67,612,1103,GasA,Ex,Y,SBrkr,1062,-32,-7,1170,0,1,2,1,3,1,TA,4,Typ,0,Gd,Detchd,1995.7262037180199,Unf,3,847,TA,TA,Y,-1,22,114,-2,-14,-5,,MnPrv,,-110,5,2009,WD,Normal,184482
48,34,RL,62.48055009510626,10802,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,8,3,1992,2004,Hip,CompShg,Wd Sdng,Wd Sdng,None,-4.534601174936834,Gd,TA,PConc,TA,Gd,No,GLQ,605,Unf,66,264,1057,GasA,Ex,N,SBrkr,1058,1074,9,2197,1,1,1,1,3,1,Gd,9,Maj1,2,TA,Detchd,2002.6043654654884,Fin,3,766,TA,TA,N,153,283,-24,1,11,-8,,,,12,7,2007,WD,Normal,193785
49,39,RL,78.37360819753133,12529,Pave,,IR1,Bnk,AllPub,Corner,Gtl,SawyerW,Feedr,Norm,1Fam,1Story,4,6,1918,1983,Gable,CompShg,HdBoard,Plywood,None,-7.2351509211591365,TA,Gd,CBlock,TA,TA,No,BLQ,719,Unf,33,-19,896,GasA,TA,Y,SBrkr,1324,-19,-5,1122,1,0,1,0,3,1,Gd,6,Typ,0,Ex,Attchd,1929.4853100972377,Unf,2,522,TA,TA,N,-11,1,2,-5,17,-3,,,,-59,5,2010,WD,Normal,105735
50,44,RL,74.080533630396,7935,Pave,,Reg,Bnk,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,5,5,1970,1973,Gable,CompShg,Wd Sdng,HdBoard,None,-48.009156369881865,TA,Gd,PConc,TA,Gd,No,Unf,-39,Unf,15,300,519,GasA,Ex,Y,SBrkr,869,197,3,1233,0,0,2,0,3,1,TA,6,Typ,0,,Detchd,1980.8033220877956,Unf,0,354,TA,TA,Y,5,88,-7,2,-16,-1,,,,-15,6,2007,WD,Normal,98620
51,166,RL,78.37925703583264,12603,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,2Story,6,6,1957,2005,Gable,CompShg,HdBoard,HdBoard,BrkFace,486.18309353838384,TA,TA,PConc,Gd,TA,Mn,Unf,518,Unf,-48,236,492,GasA,Ex,Y,SBrkr,810,1619,-1,2346,0,0,2,1,5,1,Gd,9,Typ,1,Gd,Detchd,1964.0752591098674,Unf,2,515,TA,TA,N,150,5,5,6,-5,9,,,,-54,3,2009,WD,Normal,192337
52,4,RL,107.51751420525783,20378,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,6,7,1978,1975,Gable,CompShg,VinylSd,Wd Sdng,None,6.412923548786904,TA,TA,CBlock,TA,TA,No,Unf,-179,Unf,-36,1835,1092,GasA,Ex,Y,SBrkr,1230,-92,8,1080,0,0,1,0,3,1,TA,6,Typ,1,TA,Attchd,1988.1252187069617,Unf,2,448,TA,TA,Y,16,-21,-9,-7,-4,0,,,,14,5,2009,New,Partial,171394
53,24,RM,72.86316317127596,8059,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,6,7,1978,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,157.61629092441504,TA,TA,CBlock,Gd,TA,No,GLQ,1123,Unf,-34,286,1289,GasA,TA,Y,SBrkr,1568,-92,-5,1273,0,0,1,0,3,1,TA,6,Typ,0,,Attchd,1975.9989491939218,RFn,2,787,TA,TA,Y,145,89,-13,-1,7,2,,MnPrv,,177,7,2010,WD,Normal,209791
54,32,RL,72.00735578696495,11694,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,4,1991,2001,Gable,CompShg,VinylSd,VinylSd,None,-45.65782805539459,Gd,TA,PConc,Gd,TA,Gd,GLQ,1022,Unf,-21,258,1290,GasA,Ex,Y,SBrkr,1133,-123,-20,783,1,0,1,1,3,1,TA,5,Typ,0,,Attchd,2003.4523678413473,RFn,2,412,TA,TA,Y,-30,-1,-13,6,281,-8,,,,-44,3,2006,WD,Normal,175160
55,80,RL,69.00001073478819,9569,Pave,,IR2,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,SLvl,6,8,1972,2006,Gable,CompShg,VinylSd,VinylSd,Stone,-0.9344464068406769,TA,Gd,CBlock,TA,TA,Mn,GLQ,727,Unf,-20,168,723,GasA,Ex,Y,SBrkr,918,758,10,1589,1,0,1,0,4,1,TA,9,Typ,0,,2Types,1988.7708249813757,Fin,2,357,TA,TA,Y,68,16,0,3,80,9,,,,302,3,2008,WD,Normal,213033
56,147,RL,75.8149704731708,9267,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,2Story,6,5,1965,1987,Gable,CompShg,VinylSd,Stucco,None,-20.376485918172428,TA,TA,CBlock,Gd,TA,No,GLQ,991,Unf,62,584,1736,GasA,Gd,Y,SBrkr,1707,617,-16,2108,1,0,2,0,3,1,Ex,7,Min1,2,Ex,Detchd,1973.6754734194196,Unf,2,585,TA,TA,Y,191,-20,-5,1,-8,-4,,,,87,2,2008,WD,Normal,222116
57,56,RL,,3365,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,8,7,2003,2006,Hip,CompShg,VinylSd,VinylSd,None,51.90834164361223,TA,TA,CBlock,TA,TA,Av,Unf,-132,Unf,74,1005,1235,GasA,Ex,Y,SBrkr,1040,-187,2,803,0,0,1,0,1,1,Ex,4,Typ,1,Gd,Attchd,1986.6501572144552,Unf,2,418,TA,TA,Y,144,92,-19,-2,12,-30,,,,-21,4,2008,WD,Normal,169312
58,7,RL,95.74932748553454,11442,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,6,6,1921,1998,Gable,CompShg,Wd Sdng,Wd Shng,None,-30.25786949469917,TA,TA,CBlock,Fa,Fa,Gd,Rec,946,Unf,51,478,1764,GasA,TA,Y,SBrkr,2162,-227,-9,1408,1,0,2,0,4,1,Gd,8,Typ,0,Gd,,,,2,217,TA,TA,Y,25,-17,200,-2,-14,-2,,,,-8,10,2009,WD,Normal,175658
59,15,RL,96.99192581578279,18135,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,7,4,2012,1979,Gable,CompShg,VinylSd,VinylSd,None,11.9735088989622,Gd,TA,PConc,Ex,Gd,No,GLQ,997,ALQ,705,136,1597,GasA,TA,Y,SBrkr,1753,-40,-1,1609,0,0,2,0,3,1,TA,8,Maj1,0,,Attchd,2008.2593647860126,RFn,3,960,TA,TA,Y,135,167,-24,-6,5,0,,,,-50,6,2007,New,Partial,238432
60,27,RL,,9298,Pave,,IR2,Lvl,AllPub,CulDSac,Gtl,NWAmes,Norm,Norm,1Fam,1Story,5,6,1950,1976,Gable,CompShg,Wd Sdng,Plywood,None,-42.948430760645806,TA,TA,CBlock,TA,TA,Av,BLQ,378,Rec,1105,54,803,GasA,TA,Y,SBrkr,1752,-199,5,1084,1,0,1,0,3,1,TA,6,Typ,0,,Attchd,1920.9855011778734,Unf,1,84,TA,TA,Y,92,3,106,-2,4,1,,MnPrv,,227,6,2008,WD,Normal,125560
61,69,RL,54.20069026430746,8896,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,7,5,1958,1957,Gable,CompShg,VinylSd,VinylSd,None,-20.836710323362524,TA,TA,CBlock,Gd,TA,Av,Rec,595,Unf,76,471,1257,GasA,Ex,N,SBrkr,1445,420,495,1993,1,0,1,0,3,1,TA,7,Typ,1,TA,Detchd,1985.399750108984,RFn,2,505,TA,TA,Y,163,82,8,0,187,-8,,,,-98,7,2006,WD,Normal,187017
62,17,RL,74.77236295222916,11340,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1Story,6,5,1958,1996,Gable,CompShg,VinylSd,Wd Sdng,None,-5.637391980909239,Ex,TA,PConc,Gd,TA,No,Unf,-208,Unf,-28,1268,930,GasA,TA,Y,SBrkr,1373,-70,19,1265,0,0,2,0,3,1,TA,6,Typ,0,,Attchd,1972.0605612931365,Unf,2,513,TA,TA,N,100,1,2,-8,10,1,,GdWo,,54,4,2007,WD,Abnorml,135722
63,20,RL,,7983,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Gilbert,Norm,Norm,1Fam,1Story,4,5,1971,1967,Gable,CompShg,HdBoard,Plywood,None,-11.214357641790606,TA,TA,PConc,Gd,TA,No,Unf,19,Unf,3,452,747,GasA,TA,Y,FuseF,920,-71,-5,926,0,0,1,1,3,1,TA,6,Typ,0,,Detchd,1978.78081624478,Unf,1,224,TA,TA,Y,4,-5,-3,5,489,2,,MnPrv,,99,0,2008,WD,Normal,85167
64,17,RL,69.84276506883573,11180,Pave,,Reg,Lvl,AllPub,Inside,Mod,Timber,Norm,Norm,1Fam,1Story,6,7,1980,2007,Hip,CompShg,VinylSd,MetalSd,BrkFace,117.76368770944563,Gd,TA,PConc,TA,TA,No,ALQ,25,Unf,1,884,861,GasA,Ex,Y,SBrkr,1127,43,-11,1502,0,0,2,0,3,1,Gd,7,Typ,0,,Attchd,2001.26451617962,RFn,3,786,TA,TA,Y,12,95,6,-3,11,1,,,,94,5,2009,WD,Normal,169957
65,15,RM,70.43290593871879,7068,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,8,1917,1980,Gable,CompShg,Wd Sdng,Wd Sdng,None,-68.77355689780609,TA,TA,BrkTil,TA,TA,Mn,Unf,326,Unf,-25,298,616,GasA,Gd,N,FuseA,710,-59,1,749,0,0,1,0,1,1,Fa,3,Typ,0,Gd,Detchd,1955.351197103982,Unf,1,420,,TA,N,6,2,105,0,-7,0,,,,14,10,2006,WD,Normal,113976
66,62,RL,87.3039531179093,13156,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,1.5Fin,8,5,2002,1999,Hip,CompShg,VinylSd,HdBoard,BrkFace,1122.5198666117917,Gd,TA,CBlock,Gd,TA,Mn,ALQ,690,Unf,-28,1197,1826,GasA,Ex,Y,FuseA,1674,771,5,2283,0,1,2,1,3,1,Gd,8,Typ,2,Gd,Attchd,1993.925343781074,RFn,3,631,TA,TA,Y,145,41,-7,10,16,-6,,GdWo,,52,10,2006,New,Partial,394410
67,10,RL,81.74705464783972,9686,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,6,7,1960,1989,Gable,CompShg,MetalSd,MetalSd,BrkFace,128.39526492987824,Gd,TA,CBlock,TA,TA,No,Unf,-123,Unf,-93,1915,1049,GasA,Ex,Y,SBrkr,1065,62,14,1274,0,0,1,0,2,1,TA,5,Typ,1,TA,Attchd,1928.66203008858,Unf,2,435,TA,TA,Y,-37,138,-6,-5,24,-5,,,,16,9,2009,WD,Abnorml,166689
68,43,RM,31.686143948008265,-14393,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,5,8,1963,1990,Gable,CompShg,VinylSd,MetalSd,None,-50.569407302567036,Gd,TA,CBlock,TA,TA,No,GLQ,486,Rec,233,-15,604,GasA,Gd,Y,SBrkr,488,10,-3,596,0,0,1,0,2,1,Gd,3,Typ,0,Gd,Detchd,1983.072381292755,Unf,1,278,TA,TA,Y,-41,52,-13,6,8,-4,,,,118,6,2006,WD,Normal,107140
69,28,RL,82.21564302576876,24546,Pave,,Reg,Bnk,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,6,5,1959,1950,Gable,CompShg,Plywood,Plywood,BrkFace,181.52048013219877,TA,TA,PConc,TA,TA,No,Rec,305,Rec,771,499,1219,GasA,Ex,Y,SBrkr,1820,230,-8,2105,0,0,2,0,6,1,TA,10,Typ,0,,Attchd,1973.051930343348,Fin,2,877,TA,TA,Y,174,24,6,-3,7,0,,,,68,11,2006,WD,Normal,172402
70,57,RM,67.51680119547412,9733,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,RRAn,Norm,1Fam,2Story,5,9,1915,1994,Gable,CompShg,Wd Sdng,Wd Sdng,None,-26.728650979043604,TA,TA,BrkTil,TA,TA,No,GLQ,419,Unf,113,126,763,GasA,TA,Y,SBrkr,531,934,-4,1144,1,0,1,0,3,1,TA,6,Typ,1,TA,Detchd,1959.6421795677416,Unf,1,509,Gd,TA,Y,14,86,4,4,-10,6,,MnPrv,,-70,6,2006,WD,Alloca,119939
71,87,RL,58.606265382116504,11814,Pave,,Reg,Low,AllPub,CulDSac,Mod,Gilbert,Norm,Norm,Twnhs,2Story,7,6,1961,1996,Gable,CompShg,VinylSd,MetalSd,None,-11.033925071798718,Gd,TA,PConc,Gd,Gd,No,ALQ,639,Unf,24,-83,670,GasA,Ex,Y,SBrkr,675,601,-9,1291,0,0,2,1,2,1,Gd,6,Typ,1,Gd,BuiltIn,1978.75654814373,Fin,2,397,TA,TA,Y,193,17,37,-1,-5,-8,,,,35,6,2006,WD,Normal,175386
72,61,RL,84.05188078736204,12477,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,PosN,Norm,1Fam,2Story,7,5,1972,1974,Gable,CompShg,HdBoard,HdBoard,BrkFace,478.953343398858,TA,TA,CBlock,TA,TA,No,ALQ,1172,Rec,61,130,1232,GasA,Gd,Y,SBrkr,1290,998,1,2217,1,0,1,2,3,1,TA,10,Typ,1,,Attchd,1957.9626644497573,RFn,2,684,TA,TA,Y,3,10,227,-4,0,9,,,,131,3,2009,WD,Normal,281380
73,59,RL,,10146,Pave,Pave,IR1,Bnk,AllPub,Inside,Sev,Mitchel,Norm,Norm,Duplex,1Story,6,3,1998,1954,Gable,CompShg,HdBoard,HdBoard,Stone,-12.231509413119564,TA,TA,PConc,TA,TA,Gd,GLQ,1170,Unf,108,-57,1224,GasA,Ex,Y,SBrkr,1281,-55,0,1182,2,0,1,0,2,1,TA,6,Typ,1,Gd,Attchd,1976.6888224342051,RFn,2,451,TA,TA,Y,39,44,-15,-3,-3,14,,,,23,12,2006,WD,Abnorml,177330
74,162,RL,,8849,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Twnhs,1.5Fin,5,6,1917,1949,Gable,CompShg,Wd Sdng,Wd Sdng,None,68.59826497618697,TA,TA,CBlock,TA,TA,No,Unf,28,Unf,-22,1171,936,GasA,Ex,Y,SBrkr,1057,143,-14,1488,0,0,1,0,3,1,TA,6,Typ,1,TA,Detchd,1941.943826961172,Unf,0,135,TA,TA,Y,-17,-22,7,4,13,5,,,,12,6,2008,WD,Normal,127282
75,30,RL,105.87615304038985,8304,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1930,1950,Hip,CompShg,MetalSd,MetalSd,None,5.214482256593802,Gd,TA,CBlock,Gd,Fa,No,ALQ,814,Unf,-6,826,1535,GasA,Ex,Y,SBrkr,2057,-47,-13,2036,0,0,1,1,3,1,TA,9,Typ,1,Gd,,,Fin,1,251,,,N,-21,75,13,6,17,-4,,,,105,10,2009,WD,Normal,191798
76,8,RL,,14362,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,7,7,1968,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,328.08349261787146,TA,TA,PConc,Ex,TA,No,Rec,36,Unf,11,1246,1042,GasA,Ex,Y,SBrkr,1718,68,-9,1727,0,0,2,0,3,1,TA,6,Typ,1,Gd,BuiltIn,1972.4970002187852,Fin,2,500,TA,TA,Y,52,57,-17,4,-27,-15,,,,-117,5,2008,WD,Abnorml,240273
77,80,RM,41.80624065217719,8672,Pave,,Reg,Low,AllPub,Inside,Gtl,NPkVill,Norm,PosN,TwnhsE,2Story,5,5,1984,1984,Hip,CompShg,MetalSd,MetalSd,None,-91.05310741213368,TA,TA,CBlock,TA,TA,Av,BLQ,13,Unf,39,665,870,GasA,TA,Y,SBrkr,823,-24,-10,1050,1,0,1,1,2,1,TA,5,Min1,0,,Detchd,1985.8987174661215,Unf,2,416,TA,TA,Y,210,37,35,0,-8,10,,,,-42,3,2006,WD,Normal,104269
78,19,RL,52.51040770920825,8367,Pave,Pave,Reg,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,2Story,6,5,1972,1991,Hip,CompShg,VinylSd,VinylSd,None,10.665985399577991,TA,TA,PConc,TA,TA,No,ALQ,477,BLQ,158,1028,1360,GasA,Ex,Y,SBrkr,861,612,5,1413,1,0,1,0,3,1,TA,7,Typ,1,Gd,Attchd,1964.9305456577822,Unf,1,174,TA,TA,Y,39,88,15,5,-4,13,,GdWo,,370,6,2008,WD,Normal,149058
79,0,RL,59.743018386238866,9963,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,OldTown,RRAn,Norm,1Fam,1Story,7,5,1962,1992,Hip,CompShg,VinylSd,VinylSd,Stone,-9.225074381243019,TA,TA,BrkTil,Gd,TA,No,Unf,73,Unf,-36,1504,1385,GasA,Ex,Y,SBrkr,994,-65,-6,986,0,0,1,0,2,1,TA,6,Typ,0,,BuiltIn,1989.9543697573395,RFn,2,507,,TA,Y,1,56,27,15,-5,-11,,,,-77,6,2008,New,Partial,146533
80,192,RM,72.35554726835271,9695,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,2fmCon,2Story,6,5,1969,1962,Gable,CompShg,Plywood,AsbShng,None,211.07847385254593,TA,TA,PConc,Gd,TA,No,Rec,260,ALQ,8,349,824,GasA,Ex,Y,SBrkr,779,1427,-8,2189,0,0,2,0,4,1,TA,8,Typ,0,,Detchd,1961.3859985056724,Unf,2,665,TA,TA,N,199,49,20,-2,9,6,,,,82,1,2010,WD,Normal,181181
81,46,RL,68.51735079704096,13520,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1960,1996,Gable,CompShg,VinylSd,HdBoard,None,26.31303745188329,TA,TA,CBlock,TA,TA,No,Unf,-125,Unf,90,1582,1514,GasA,TA,Y,SBrkr,1281,689,357,2268,0,1,2,1,3,1,Gd,8,Typ,1,TA,Attchd,1959.6308669387408,RFn,1,489,TA,TA,Y,-43,145,2,5,11,726,Gd,,,11,10,2008,WD,Normal,202712
82,54,RL,64.31281807513774,-7249,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1950,2005,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,6.724469846010841,TA,TA,CBlock,TA,TA,No,GLQ,1130,,60,-149,746,GasA,Gd,Y,SBrkr,873,-53,-6,862,1,0,1,1,2,1,Gd,4,Typ,0,,CarPort,1985.2619835309695,RFn,1,-9,Fa,TA,Y,13,9,9,0,1,-6,,MnPrv,,69,4,2009,WD,Normal,113783
83,51,RL,117.69095212422755,14472,Pave,,IR2,Bnk,AllPub,Inside,Mod,NridgHt,Norm,Norm,1Fam,SLvl,7,5,1960,1994,Gable,CompShg,Wd Sdng,Wd Sdng,None,62.280727478681655,TA,TA,PConc,TA,TA,Av,Unf,546,Unf,-19,1467,1771,GasA,Ex,Y,SBrkr,1766,800,-16,2246,0,0,2,0,4,1,TA,9,Typ,1,Ex,Attchd,1963.9560778093844,Fin,2,828,TA,TA,Y,201,40,4,-4,-3,1,,,,-64,6,2010,WD,Normal,209309
84,113,RL,66.8849759074835,9698,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,TwnhsE,1Story,8,5,2004,2001,Hip,CompShg,Plywood,Plywood,None,155.23230613388188,TA,TA,PConc,Ex,Gd,Gd,ALQ,934,Unf,39,267,1197,GasA,Ex,Y,SBrkr,1517,21,13,1448,0,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2003.8169805229304,Fin,2,350,Ex,TA,Y,154,166,-28,-4,31,5,,,,34,5,2009,WD,Partial,218973
85,54,RL,,9901,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,6,2022,2008,Gable,CompShg,VinylSd,VinylSd,BrkFace,285.5650373229262,Gd,TA,PConc,Gd,TA,No,GLQ,1188,Unf,12,254,1532,GasA,Ex,Y,SBrkr,1058,-31,19,1217,1,0,2,1,2,1,Gd,6,Typ,1,Gd,Attchd,2013.530771995317,Fin,3,909,TA,TA,Y,131,7,-36,3,2,8,,,,-166,7,2006,New,Partial,296275
86,123,RL,,8206,Pave,,IR3,Lvl,AllPub,CulDSac,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,9,5,2002,2008,Hip,CompShg,Wd Sdng,Wd Sdng,Stone,63.07432942633954,Gd,Ex,PConc,Gd,TA,No,Unf,599,Unf,-20,918,1355,GasA,Ex,Y,SBrkr,1008,467,-8,1500,1,0,2,1,2,1,Gd,4,Min1,1,Gd,Attchd,2009.5106269718228,RFn,2,660,TA,TA,Y,-9,88,-12,4,2,13,,,,-54,8,2008,New,Partial,272021
87,10,RL,98.89125659973251,11332,Pave,,Reg,HLS,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,5,1972,1950,Hip,CompShg,MetalSd,MetalSd,BrkFace,491.95942638449304,TA,TA,CBlock,TA,TA,Av,GLQ,717,Unf,91,457,1616,GasA,TA,Y,SBrkr,1830,-69,-8,1475,0,0,2,0,3,1,TA,7,Typ,1,,Attchd,1969.7434590143669,RFn,2,891,TA,TA,Y,-16,-6,-8,5,11,7,,,,-68,5,2006,WD,Normal,193290
88,109,RL,79.32059572981858,8366,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Artery,Norm,1Fam,1.5Fin,7,6,1961,1958,Gable,CompShg,BrkFace,HdBoard,None,38.07420073973934,TA,TA,PConc,Ex,TA,Gd,GLQ,218,Unf,25,434,840,GasA,TA,Y,SBrkr,1337,779,-20,1907,1,0,2,0,3,1,Gd,8,Typ,1,TA,Attchd,1944.4218415590021,Unf,3,581,TA,TA,Y,-30,17,212,1,395,3,,MnPrv,,-29,4,2006,WD,Normal,250207
89,64,FV,80.65232167024075,11099,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,7,5,2005,2005,Hip,CompShg,AsbShng,MetalSd,BrkFace,349.656947469123,TA,TA,CBlock,Ex,TA,Av,GLQ,986,Unf,-1,41,854,GasA,TA,N,SBrkr,1003,816,-3,1815,1,0,1,1,2,1,TA,6,Min2,1,TA,Attchd,1993.4089274561816,RFn,3,890,TA,TA,Y,143,179,18,4,-11,-7,,MnPrv,,53,7,2006,New,Partial,259486
90,24,RL,,7369,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NWAmes,Norm,Norm,1Fam,1.5Fin,7,6,2000,2008,Gable,CompShg,Plywood,Plywood,BrkFace,497.7618944347132,TA,TA,PConc,Ex,TA,No,GLQ,771,Unf,-11,171,912,GasA,Ex,Y,SBrkr,899,486,18,1396,0,0,1,1,3,1,TA,6,Typ,1,Gd,Attchd,1996.8188320083527,Unf,2,494,TA,TA,Y,17,-1,11,8,0,3,,MnPrv,,121,7,2009,WD,Normal,192817
91,17,RL,115.20514193712306,13941,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,10,5,2014,2009,Hip,CompShg,VinylSd,VinylSd,Stone,233.17122926673787,Gd,TA,PConc,Ex,TA,Gd,GLQ,1258,Unf,-88,1384,2573,GasA,Ex,Y,SBrkr,3006,165,-9,2688,0,0,2,0,4,1,Gd,9,Typ,1,Gd,Attchd,2016.0673818828984,RFn,3,992,TA,TA,Y,211,200,-18,9,14,506,Gd,,,-11,3,2009,WD,Normal,588343
92,96,RL,,16559,Pave,,Reg,Bnk,AllPub,Inside,Gtl,Sawyer,Norm,Norm,2fmCon,2Story,7,4,1999,2007,Gable,CompShg,MetalSd,MetalSd,BrkFace,165.78677650053373,Gd,TA,CBlock,TA,TA,Mn,Rec,327,Unf,-23,440,845,GasA,Gd,Y,SBrkr,1212,931,18,2074,0,0,2,0,4,1,Gd,8,Typ,2,Gd,Attchd,1989.7360674249846,Fin,1,419,TA,TA,Y,8,72,-17,-3,230,6,,,,-9,7,2007,WD,Normal,250988
93,7,RL,64.77510590124822,12024,Pave,,IR1,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,6,5,1988,1956,Hip,Metal,Plywood,Plywood,None,174.87970748828104,TA,TA,CBlock,TA,TA,No,ALQ,863,Unf,-18,740,1579,GasA,TA,Y,SBrkr,956,-68,8,1039,0,0,1,0,1,1,TA,4,Typ,1,TA,Attchd,1954.7232714294262,Fin,2,516,TA,TA,Y,-12,5,-1,9,-5,-14,,,,-65,6,2007,WD,Normal,164998
94,37,FV,,8791,Pave,,IR1,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,5,1984,2007,Gable,CompShg,VinylSd,VinylSd,None,-23.387181117831815,TA,TA,PConc,Gd,TA,No,Unf,121,Unf,-1,1168,1034,GasA,Fa,Y,SBrkr,1116,907,3,1934,1,0,1,0,3,1,Gd,8,Typ,1,Gd,BuiltIn,2003.2255953839094,Unf,3,679,TA,TA,Y,-6,62,161,-4,-27,-1,,GdWo,,112,13,2006,WD,Partial,177784
95,52,RL,55.59320896744981,5263,Pave,,Reg,Bnk,AllPub,Inside,Gtl,Sawyer,Norm,Norm,TwnhsE,1Story,3,6,1963,1965,Gable,CompShg,VinylSd,VinylSd,None,-40.87405599144592,TA,TA,CBlock,Gd,TA,No,Rec,617,Unf,56,-86,558,GasA,Ex,Y,SBrkr,694,-203,16,608,0,0,1,0,2,1,TA,4,Maj1,0,Gd,Detchd,1982.5688890878396,Unf,1,344,TA,TA,Y,-12,-23,-15,4,258,-5,,,,113,5,2009,WD,Normal,69007
